size: 10
delay	0,1	1	10	100
1ms	0.029649	0.040971	0.049004	0.031094	
5ms	0.031005	0.031610	0.030925	0.030328	
10ms	0.030201	0.033907	0.030243	0.030300	
50ms	0.039829	0.036025	0.039033	0.030697	
100ms	0.041640	0.034998	0.026889	0.032527	
500ms	0.034968	0.032044	0.032390	0.032890	

size: 100
delay	0,1	1	10	100
1ms	0.027899	0.036367	0.040156	0.030771	
5ms	0.029534	0.027609	0.024375	0.025414	
10ms	0.026628	0.027636	0.026314	0.025455	
50ms	0.031167	0.028882	0.031267	0.031798	
100ms	0.028215	0.027613	0.028869	0.029163	
500ms	0.030636	0.028590	0.026434	0.026347	

size: 1000
delay	0,1	1	10	100
1ms	0.025667	0.045178	0.039280	0.039636	
5ms	0.030538	0.029846	0.028280	0.026357	
10ms	0.028667	0.028526	0.026596	0.028831	
50ms	0.030271	0.027875	0.028898	0.027274	
100ms	0.030652	0.031446	0.026423	0.031030	
500ms	0.028554	0.027704	0.033806	0.027654	

